player,team,position,c/a,yds,td,int,car,yds,td,rec,yds,td,tar,2pc,fuml,td,fpts,avg
Kendrick Bourne,NE,WR,1/1,25,1,0,12,125,0,55,800,5,70,0,1,0,180.5,10.6
Marvin Jones Jr.,Jax,WR,0/0,0,0,0,0,0,0,73,832,4,120,0,0,0,180.2,10.6
Kyle Pitts,Atl,TE,0/0,0,0,0,0,0,0,68,1026,1,110,0,0,0,176.6,10.4
James Robinson,Jax,RB,0/0,0,0,0,164,767,8,31,222,0,46,0,2,0,173.9,12.4
Myles Gaskin,Mia,RB,0/0,0,0,0,173,612,3,49,234,4,63,0,1,0,173.6,10.2
Rob Gronkowski,FA,TE,0/0,0,0,0,0,0,0,55,802,6,89,0,0,0,171.2,14.3
Brandon Aiyuk,SF,WR,0/0,0,0,0,5,17,0,56,826,5,84,0,1,0,170.3,10.0
Van Jefferson,LAR,WR,0/0,0,0,0,2,20,0,50,802,6,89,0,0,0,168.2,9.9
Daniel Jones,NYG,QB,232/361,2428,10,7,62,298,2,1,16,0,1,0,3,0,167.52,15.2
Chase Claypool,Pit,WR,0/0,0,0,0,14,96,0,59,860,2,105,0,0,0,166.6,11.1
Dallas Goedert,Phi,TE,0/0,0,0,0,0,0,0,56,830,4,76,0,0,0,165.0,11.0
Elijah Mitchell,SF,RB,0/0,0,0,0,207,963,5,19,137,1,20,0,0,0,165.0,15.0
Mike Gesicki,Mia,TE,0/1,0,0,0,0,0,0,73,780,2,111,0,0,0,165.0,9.7
Hunter Henry,NE,TE,0/0,0,0,0,0,0,0,50,603,9,75,0,0,0,164.3,10.3
Amon-Ra St. Brown,Det,WR,0/0,0,0,0,0,4,0,49,587,9,71,0,0,0,164.1,10.9
Marquise Brown,Ari,WR,0/0,0,0,0,149,688,5,29,176,3,40,0,0,0,163.4,13.6
Josh Jacobs,LV,RB,0/0,0,0,0,0,0,0,66,770,4,94,0,2,0,163.0,12.5
Mac Jones,NE,QB,0/0,0,0,0,130,719,2,39,337,0,46,0,0,1,162.6,10.8
Matt Ryan,Ind,QB,0/1,0,0,0,0,0,0,82,693,1,112,0,0,0,159.3,10.0
Taylor Heinicke,Wsh,QB,0/0,0,0,0,0,0,0,68,670,4,90,0,0,0,159.0,9.9
Darnell Mooney,Chi,WR,0/0,0,0,0,1,10,0,50,655,7,82,0,0,0,158.5,9.3
Tee Higgins,Cin,WR,243/406,2527,9,13,48,222,5,0,0,0,0,0,4,0,157.28,13.1
Ben Roethlisberger,Pit,QB,263/394,2664,16,10,18,44,0,0,0,0,0,0,1,0,156.96,12.1
Nick Chubb,Cle,RB,0/0,0,0,0,0,0,0,54,848,3,92,0,0,0,156.8,9.8
Terry McLaurin,Wsh,WR,0/0,0,0,0,0,0,0,53,734,5,85,0,0,0,156.4,9.8
Michael Carter,NYJ,RB,0/0,0,0,0,147,639,4,36,325,0,55,0,1,0,154.4,11.0
Zach Wilson,NYJ,QB,213/383,2334,9,11,29,185,4,0,0,0,1,0,1,0,151.86,11.7
Marquez Callaway,NO,WR,0/0,0,0,0,0,0,0,46,698,6,84,0,0,0,151.8,8.9
Pat Freiermuth,Pit,TE,0/0,0,0,0,0,0,0,60,497,7,79,0,1,0,151.7,9.5
Courtland Sutton,Den,WR,1/1,16,0,0,0,0,0,58,776,2,98,0,0,0,150.24,8.8
Saquon Barkley,NYG,RB,0/0,0,0,0,162,593,2,41,263,2,57,0,1,0,148.6,11.4
Cedrick Wilson,Mia,WR,3/3,88,0,0,2,11,0,45,602,6,61,0,0,0,147.82,9.9
DeAndre Hopkins,Ari,WR,0/0,0,0,0,0,0,0,42,572,8,64,0,0,0,147.2,14.7
Tyler Higbee,LAR,TE,0/0,0,0,0,0,0,0,61,560,5,85,0,0,0,147.0,9.8
Devonta Freeman,FA,RB,0/0,0,0,0,133,576,5,34,190,1,42,0,0,0,146.6,9.2
Sony Michel,Mia,RB,0/0,0,0,0,208,845,4,21,128,1,33,0,1,0,146.3,8.6
T.J. Hockenson,Det,TE,0/0,0,0,0,0,0,0,61,583,4,83,0,0,0,145.3,12.1
Devontae Booker,FA,RB,0/0,0,0,0,145,593,2,40,268,1,45,0,0,0,144.1,9.0
Chase Edmonds,Mia,RB,0/0,0,0,0,116,592,2,43,311,0,53,0,1,0,143.3,11.9
Allen Lazard,GB,WR,0/0,0,0,0,3,32,0,40,513,8,60,0,0,0,142.5,10.2
Mecole Hardman,KC,WR,0/0,0,0,0,8,46,0,59,693,2,83,0,2,0,140.9,8.3
Robby Anderson,Car,WR,0/0,0,0,0,3,36,0,53,519,5,110,0,0,0,138.5,8.1
Tyler Conklin,NYJ,TE,0/0,0,0,0,0,0,0,61,593,3,87,0,0,0,138.3,8.1
Elijah Moore,NYJ,WR,0/0,0,0,0,5,54,1,43,538,5,77,0,0,0,138.2,12.6
Mike Davis,Bal,RB,0/0,0,0,0,138,503,3,44,259,1,58,0,3,0,138.2,8.1
Chuba Hubbard,Car,RB,0/0,0,0,0,172,612,5,25,174,1,37,0,1,0,137.6,8.6
Robert Woods,Ten,WR,0/0,0,0,0,8,46,1,45,556,4,69,0,0,0,137.2,15.2
Darren Waller,LV,TE,0/0,0,0,0,0,0,0,55,665,2,93,0,0,0,133.5,12.1
Jarvis Landry,NO,WR,0/0,0,0,0,6,40,2,52,570,2,87,0,2,0,133.0,11.1
Jared Cook,FA,TE,0/0,0,0,0,0,0,0,48,564,4,83,0,0,0,132.4,8.3
Kalif Raymond,Det,WR,0/0,0,0,0,4,28,0,48,576,4,71,0,0,0,132.4,8.3
Emmanuel Sanders,FA,WR,0/0,0,0,0,2,31,0,42,626,4,72,0,0,0,131.7,9.4
Odell Beckham Jr.,FA,WR,0/0,0,0,0,2,14,0,44,537,5,82,0,0,0,129.1,9.2
C.J. Uzomah,NYJ,TE,0/0,0,0,0,0,0,0,49,493,5,63,0,0,0,128.3,8.0
J.D. McKissic,Wsh,RB,0/0,0,0,0,48,212,2,43,397,2,53,0,0,0,127.9,11.6
Christian McCaffrey,Car,RB,0/0,0,0,0,99,442,1,37,343,1,41,0,0,0,127.5,18.2
Laviska Shenault Jr.,Jax,WR,0/0,0,0,0,11,41,0,63,619,0,99,0,1,0,127.0,7.9
Byron Pringle,Chi,WR,0/0,0,0,0,0,0,0,42,568,5,60,0,1,0,126.8,7.9
Justin Fields,Chi,QB,159/270,1870,7,10,72,420,2,0,0,0,0,0,5,0,126.8,10.6
Gabriel Davis,Buf,WR,0/0,0,0,0,0,0,0,35,549,6,63,0,0,0,125.9,8.4
Alexander Mattison,Min,RB,0/0,0,0,0,134,491,3,32,228,1,39,0,1,0,125.9,7.9
Brandon Bolden,LV,RB,0/0,0,0,0,44,226,1,41,405,2,49,0,0,0,124.1,7.8
Kenneth Gainwell,Phi,RB,0/0,0,0,0,68,291,5,33,253,1,50,0,1,0,123.4,7.7
Taysom Hill,NO,TE,78/134,978,4,5,70,374,5,4,52,0,6,0,0,0,121.72,10.1
Dawson Knox,Buf,TE,0/0,0,0,0,119,749,6,6,48,0,8,0,0,0,121.7,12.2
Darrell Henderson Jr.,LAR,RB,0/0,0,0,0,1,0,0,60,612,0,93,0,0,0,121.2,7.1
Russell Gage,TB,WR,0/0,0,0,0,7,40,2,46,431,2,65,0,1,1,121.1,7.6
Tony Pollard,Dal,RB,0/0,0,0,0,1,6,0,42,545,4,62,0,0,0,121.1,17.3
Cole Beasley,FA,WR,0/0,0,0,0,153,601,3,26,157,0,28,0,0,0,119.8,9.2
Noah Fant,Sea,TE,0/0,0,0,0,3,20,0,48,478,4,63,0,2,0,117.8,7.9
K.J. Osborn,Min,WR,0/0,0,0,0,119,517,4,19,129,2,23,0,2,0,117.6,11.8
Sam Darnold,Car,QB,95/161,1170,14,3,32,166,1,0,0,0,0,0,1,0,117.4,16.8
Davis Mills,Hou,QB,0/0,0,0,0,137,754,0,26,158,0,34,0,1,0,117.2,9.8
